cik,ticker,year_old,year_new,filepath,n_added,n_removed,similarity,added_ratio
743988,XLNX,2016,2017,/Users/timtonnaer/risk_project/outputs/diffs/743988_2016_2017.json,54,50,0.82,0.1922
743988,XLNX,2017,2018,/Users/timtonnaer/risk_project/outputs/diffs/743988_2017_2018.json,121,127,0.5421,0.44
743988,XLNX,2018,2019,/Users/timtonnaer/risk_project/outputs/diffs/743988_2018_2019.json,43,43,0.8133,0.1564
743988,XLNX,2019,2020,/Users/timtonnaer/risk_project/outputs/diffs/743988_2019_2020.json,74,52,0.6676,0.2492
743988,XLNX,2020,2021,/Users/timtonnaer/risk_project/outputs/diffs/743988_2020_2021.json,111,71,0.1942,0.3294
1126328,PFG,2015,2016,/Users/timtonnaer/risk_project/outputs/diffs/1126328_2015_2016.json,127,104,0.6172,0.2829
1126328,PFG,2016,2017,/Users/timtonnaer/risk_project/outputs/diffs/1126328_2016_2017.json,149,135,0.606,0.3218
1126328,PFG,2017,2018,/Users/timtonnaer/risk_project/outputs/diffs/1126328_2017_2018.json,153,148,0.5272,0.3269
1126328,PFG,2018,2019,/Users/timtonnaer/risk_project/outputs/diffs/1126328_2018_2019.json,115,99,0.8366,0.2376
78239,PVH,2015,2016,/Users/timtonnaer/risk_project/outputs/diffs/78239_2015_2016.json,53,60,0.0729,0.2896
78239,PVH,2016,2017,/Users/timtonnaer/risk_project/outputs/diffs/78239_2016_2017.json,61,49,0.0701,0.3128
78239,PVH,2017,2018,/Users/timtonnaer/risk_project/outputs/diffs/78239_2017_2018.json,105,86,0.2747,0.4907
78239,PVH,2018,2019,/Users/timtonnaer/risk_project/outputs/diffs/78239_2018_2019.json,99,83,0.1194,0.4304
78239,PVH,2019,2020,/Users/timtonnaer/risk_project/outputs/diffs/78239_2019_2020.json,106,84,0.1001,0.4206
78239,PVH,2020,2021,/Users/timtonnaer/risk_project/outputs/diffs/78239_2020_2021.json,158,115,0.0504,0.5338
78239,PVH,2021,2022,/Users/timtonnaer/risk_project/outputs/diffs/78239_2021_2022.json,122,122,0.2504,0.4122
78239,PVH,2022,2023,/Users/timtonnaer/risk_project/outputs/diffs/78239_2022_2023.json,106,101,0.5493,0.3522
759944,CFG,2015,2016,/Users/timtonnaer/risk_project/outputs/diffs/759944_2015_2016.json,129,551,0.0317,0.3593
759944,CFG,2016,2017,/Users/timtonnaer/risk_project/outputs/diffs/759944_2016_2017.json,81,77,0.6584,0.2231
759944,CFG,2017,2018,/Users/timtonnaer/risk_project/outputs/diffs/759944_2017_2018.json,94,135,0.2956,0.2938
759944,CFG,2018,2019,/Users/timtonnaer/risk_project/outputs/diffs/759944_2018_2019.json,85,74,0.3975,0.256
759944,CFG,2019,2020,/Users/timtonnaer/risk_project/outputs/diffs/759944_2019_2020.json,72,82,0.6474,0.2236
759944,CFG,2020,2021,/Users/timtonnaer/risk_project/outputs/diffs/759944_2020_2021.json,90,60,0.5801,0.2557
759944,CFG,2021,2022,/Users/timtonnaer/risk_project/outputs/diffs/759944_2021_2022.json,71,73,0.5826,0.2029
759944,CFG,2022,2023,/Users/timtonnaer/risk_project/outputs/diffs/759944_2022_2023.json,93,101,0.2858,0.2719
1090872,A,2015,2016,/Users/timtonnaer/risk_project/outputs/diffs/1090872_2015_2016.json,87,78,0.3824,0.3042
1090872,A,2016,2017,/Users/timtonnaer/risk_project/outputs/diffs/1090872_2016_2017.json,90,104,0.3711,0.3309
1090872,A,2017,2018,/Users/timtonnaer/risk_project/outputs/diffs/1090872_2017_2018.json,52,38,0.7374,0.1818
1090872,A,2018,2019,/Users/timtonnaer/risk_project/outputs/diffs/1090872_2018_2019.json,68,73,0.5286,0.242
1090872,A,2019,2020,/Users/timtonnaer/risk_project/outputs/diffs/1090872_2019_2020.json,89,62,0.3874,0.289
1090872,A,2020,2021,/Users/timtonnaer/risk_project/outputs/diffs/1090872_2020_2021.json,75,70,0.0928,0.2396
1090872,A,2021,2022,/Users/timtonnaer/risk_project/outputs/diffs/1090872_2021_2022.json,50,60,0.1256,0.165
1090872,A,2022,2023,/Users/timtonnaer/risk_project/outputs/diffs/1090872_2022_2023.json,49,47,0.1884,0.1607
42682,BOH,2015,2016,/Users/timtonnaer/risk_project/outputs/diffs/42682_2015_2016.json,21,5,0.1865,0.75
42682,BOH,2016,2017,/Users/timtonnaer/risk_project/outputs/diffs/42682_2016_2017.json,10,26,0.0629,0.8333
42682,BOH,2017,2018,/Users/timtonnaer/risk_project/outputs/diffs/42682_2017_2018.json,69,5,0.0762,0.9079
42682,BOH,2018,2019,/Users/timtonnaer/risk_project/outputs/diffs/42682_2018_2019.json,41,44,0.2637,0.5616
42682,BOH,2019,2020,/Users/timtonnaer/risk_project/outputs/diffs/42682_2019_2020.json,22,18,0.2887,0.2857
42682,BOH,2020,2021,/Users/timtonnaer/risk_project/outputs/diffs/42682_2020_2021.json,26,13,0.2962,0.2889
42682,BOH,2021,2022,/Users/timtonnaer/risk_project/outputs/diffs/42682_2021_2022.json,20,14,0.8041,0.2083
42682,BOH,2022,2023,/Users/timtonnaer/risk_project/outputs/diffs/42682_2022_2023.json,39,26,0.4889,0.3578
1099800,EW,2015,2016,/Users/timtonnaer/risk_project/outputs/diffs/1099800_2015_2016.json,48,43,0.1552,0.1959
1099800,EW,2016,2017,/Users/timtonnaer/risk_project/outputs/diffs/1099800_2016_2017.json,31,30,0.7877,0.126
1099800,EW,2017,2018,/Users/timtonnaer/risk_project/outputs/diffs/1099800_2017_2018.json,46,40,0.5327,0.1825
1099800,EW,2018,2019,/Users/timtonnaer/risk_project/outputs/diffs/1099800_2018_2019.json,54,45,0.708,0.2069
1099800,EW,2019,2020,/Users/timtonnaer/risk_project/outputs/diffs/1099800_2019_2020.json,65,59,0.3296,0.2434
1099800,EW,2020,2021,/Users/timtonnaer/risk_project/outputs/diffs/1099800_2020_2021.json,115,199,0.1126,0.6284
1099800,EW,2021,2022,/Users/timtonnaer/risk_project/outputs/diffs/1099800_2021_2022.json,47,35,0.5283,0.241
1099800,EW,2022,2023,/Users/timtonnaer/risk_project/outputs/diffs/1099800_2022_2023.json,53,39,0.5284,0.2536
1113169,TROW,2015,2016,/Users/timtonnaer/risk_project/outputs/diffs/1113169_2015_2016.json,29,23,0.5874,0.1667
1113169,TROW,2016,2017,/Users/timtonnaer/risk_project/outputs/diffs/1113169_2016_2017.json,68,46,0.4404,0.3469
1113169,TROW,2017,2018,/Users/timtonnaer/risk_project/outputs/diffs/1113169_2017_2018.json,107,77,0.2955,0.4735
1113169,TROW,2018,2019,/Users/timtonnaer/risk_project/outputs/diffs/1113169_2018_2019.json,76,84,0.5719,0.3486
1113169,TROW,2019,2020,/Users/timtonnaer/risk_project/outputs/diffs/1113169_2019_2020.json,68,61,0.5621,0.3022
1113169,TROW,2020,2021,/Users/timtonnaer/risk_project/outputs/diffs/1113169_2020_2021.json,85,89,0.2868,0.3846
1113169,TROW,2021,2022,/Users/timtonnaer/risk_project/outputs/diffs/1113169_2021_2022.json,61,47,0.7389,0.2596
1113169,TROW,2022,2023,/Users/timtonnaer/risk_project/outputs/diffs/1113169_2022_2023.json,124,94,0.3788,0.4679
1096752,NUAN,2015,2016,/Users/timtonnaer/risk_project/outputs/diffs/1096752_2015_2016.json,74,97,0.1911,0.3033
1096752,NUAN,2016,2017,/Users/timtonnaer/risk_project/outputs/diffs/1096752_2016_2017.json,66,84,0.2514,0.292
1096752,NUAN,2017,2018,/Users/timtonnaer/risk_project/outputs/diffs/1096752_2017_2018.json,77,83,0.1794,0.3516
1096752,NUAN,2018,2019,/Users/timtonnaer/risk_project/outputs/diffs/1096752_2018_2019.json,95,86,0.0839,0.4167
1096752,NUAN,2019,2020,/Users/timtonnaer/risk_project/outputs/diffs/1096752_2019_2020.json,53,58,0.4599,0.2377
1096752,NUAN,2020,2021,/Users/timtonnaer/risk_project/outputs/diffs/1096752_2020_2021.json,53,74,0.1158,0.2624
1096752,NUAN,2021,2022,/Users/timtonnaer/risk_project/outputs/diffs/1096752_2021_2022.json,34,42,0.4236,0.1753
1096752,NUAN,2022,2023,/Users/timtonnaer/risk_project/outputs/diffs/1096752_2022_2023.json,25,30,0.221,0.1323
315293,AON,2017,2018,/Users/timtonnaer/risk_project/outputs/diffs/315293_2017_2018.json,235,223,0.2754,0.5087
315293,AON,2018,2019,/Users/timtonnaer/risk_project/outputs/diffs/315293_2018_2019.json,157,180,0.3948,0.3576
315293,AON,2019,2020,/Users/timtonnaer/risk_project/outputs/diffs/315293_2019_2020.json,147,164,0.4733,0.3483
315293,AON,2020,2021,/Users/timtonnaer/risk_project/outputs/diffs/315293_2020_2021.json,229,195,0.1731,0.4935
315293,AON,2021,2022,/Users/timtonnaer/risk_project/outputs/diffs/315293_2021_2022.json,91,151,0.2791,0.2316
315293,AON,2022,2023,/Users/timtonnaer/risk_project/outputs/diffs/315293_2022_2023.json,103,102,0.638,0.2614
798941,STE,2015,2016,/Users/timtonnaer/risk_project/outputs/diffs/798941_2015_2016.json,73,85,0.4088,0.3596
798941,STE,2016,2017,/Users/timtonnaer/risk_project/outputs/diffs/798941_2016_2017.json,64,81,0.1003,0.3441
798941,STE,2017,2018,/Users/timtonnaer/risk_project/outputs/diffs/798941_2017_2018.json,82,80,0.2087,0.4362
798941,STE,2018,2019,/Users/timtonnaer/risk_project/outputs/diffs/798941_2018_2019.json,159,86,0.4469,0.6092
798941,STE,2019,2020,/Users/timtonnaer/risk_project/outputs/diffs/798941_2019_2020.json,86,55,0.5342,0.2945
798941,STE,2020,2021,/Users/timtonnaer/risk_project/outputs/diffs/798941_2020_2021.json,138,66,0.5829,0.3791
798941,STE,2021,2022,/Users/timtonnaer/risk_project/outputs/diffs/798941_2021_2022.json,379,259,0.1533,0.7814
798941,STE,2022,2023,/Users/timtonnaer/risk_project/outputs/diffs/798941_2022_2023.json,198,178,0.2707,0.3905
927628,COF,2015,2016,/Users/timtonnaer/risk_project/outputs/diffs/927628_2015_2016.json,202,165,0.1069,0.5445
927628,COF,2016,2017,/Users/timtonnaer/risk_project/outputs/diffs/927628_2016_2017.json,106,89,0.458,0.2739
927628,COF,2017,2018,/Users/timtonnaer/risk_project/outputs/diffs/927628_2017_2018.json,129,106,0.018,0.3146
927628,COF,2018,2019,/Users/timtonnaer/risk_project/outputs/diffs/927628_2018_2019.json,154,155,0.0958,0.3765
927628,COF,2019,2020,/Users/timtonnaer/risk_project/outputs/diffs/927628_2019_2020.json,211,212,0.1538,0.5159
927628,COF,2020,2021,/Users/timtonnaer/risk_project/outputs/diffs/927628_2020_2021.json,158,97,0.2646,0.3285
927628,COF,2021,2022,/Users/timtonnaer/risk_project/outputs/diffs/927628_2021_2022.json,209,207,0.0507,0.4318
927628,COF,2022,2023,/Users/timtonnaer/risk_project/outputs/diffs/927628_2022_2023.json,205,213,0.0308,0.4289
1053507,AMT,2015,2016,/Users/timtonnaer/risk_project/outputs/diffs/1053507_2015_2016.json,73,86,0.125,0.422
1053507,AMT,2016,2017,/Users/timtonnaer/risk_project/outputs/diffs/1053507_2016_2017.json,56,57,0.1521,0.3256
1053507,AMT,2017,2018,/Users/timtonnaer/risk_project/outputs/diffs/1053507_2017_2018.json,71,67,0.3,0.4034
1053507,AMT,2018,2019,/Users/timtonnaer/risk_project/outputs/diffs/1053507_2018_2019.json,41,41,0.8057,0.233
1053507,AMT,2019,2020,/Users/timtonnaer/risk_project/outputs/diffs/1053507_2019_2020.json,71,72,0.2765,0.4057
1053507,AMT,2020,2021,/Users/timtonnaer/risk_project/outputs/diffs/1053507_2020_2021.json,64,45,0.2864,0.3299
1053507,AMT,2021,2022,/Users/timtonnaer/risk_project/outputs/diffs/1053507_2021_2022.json,139,86,0.1994,0.5605
1053507,AMT,2022,2023,/Users/timtonnaer/risk_project/outputs/diffs/1053507_2022_2023.json,84,67,0.4681,0.317
4127,SWKS,2015,2016,/Users/timtonnaer/risk_project/outputs/diffs/4127_2015_2016.json,37,66,0.4836,0.1423
4127,SWKS,2016,2017,/Users/timtonnaer/risk_project/outputs/diffs/4127_2016_2017.json,51,45,0.2745,0.191
4127,SWKS,2017,2018,/Users/timtonnaer/risk_project/outputs/diffs/4127_2017_2018.json,76,65,0.6441,0.2734
4127,SWKS,2018,2019,/Users/timtonnaer/risk_project/outputs/diffs/4127_2018_2019.json,103,106,0.799,0.3745
4127,SWKS,2019,2020,/Users/timtonnaer/risk_project/outputs/diffs/4127_2019_2020.json,162,123,0.1652,0.5143
4127,SWKS,2020,2021,/Users/timtonnaer/risk_project/outputs/diffs/4127_2020_2021.json,130,88,0.0955,0.3641
4127,SWKS,2021,2022,/Users/timtonnaer/risk_project/outputs/diffs/4127_2021_2022.json,98,99,0.0462,0.2753
4127,SWKS,2022,2023,/Users/timtonnaer/risk_project/outputs/diffs/4127_2022_2023.json,74,89,0.0793,0.2176
731766,UNH,2015,2016,/Users/timtonnaer/risk_project/outputs/diffs/731766_2015_2016.json,82,91,0.6236,0.3048
731766,UNH,2016,2017,/Users/timtonnaer/risk_project/outputs/diffs/731766_2016_2017.json,41,43,0.8045,0.1536
731766,UNH,2017,2018,/Users/timtonnaer/risk_project/outputs/diffs/731766_2017_2018.json,95,95,0.5534,0.3558
731766,UNH,2018,2019,/Users/timtonnaer/risk_project/outputs/diffs/731766_2018_2019.json,73,67,0.6928,0.2674
731766,UNH,2019,2020,/Users/timtonnaer/risk_project/outputs/diffs/731766_2019_2020.json,43,43,0.7804,0.1575
731766,UNH,2020,2021,/Users/timtonnaer/risk_project/outputs/diffs/731766_2020_2021.json,138,110,0.3332,0.4585
731766,UNH,2021,2022,/Users/timtonnaer/risk_project/outputs/diffs/731766_2021_2022.json,78,74,0.7032,0.2557
731766,UNH,2022,2023,/Users/timtonnaer/risk_project/outputs/diffs/731766_2022_2023.json,98,108,0.2605,0.3322
842162,LEA,2015,2016,/Users/timtonnaer/risk_project/outputs/diffs/842162_2015_2016.json,16,16,0.4145,0.1103
842162,LEA,2016,2017,/Users/timtonnaer/risk_project/outputs/diffs/842162_2016_2017.json,28,12,0.8519,0.1739
842162,LEA,2017,2018,/Users/timtonnaer/risk_project/outputs/diffs/842162_2017_2018.json,52,43,0.2728,0.3059
842162,LEA,2018,2019,/Users/timtonnaer/risk_project/outputs/diffs/842162_2018_2019.json,60,52,0.2238,0.3371
842162,LEA,2019,2020,/Users/timtonnaer/risk_project/outputs/diffs/842162_2019_2020.json,61,54,0.2432,0.3297
842162,LEA,2020,2021,/Users/timtonnaer/risk_project/outputs/diffs/842162_2020_2021.json,62,41,0.1839,0.301
842162,LEA,2021,2022,/Users/timtonnaer/risk_project/outputs/diffs/842162_2021_2022.json,65,55,0.3983,0.3009
842162,LEA,2022,2023,/Users/timtonnaer/risk_project/outputs/diffs/842162_2022_2023.json,59,72,0.1503,0.2906
882095,GILD,2015,2016,/Users/timtonnaer/risk_project/outputs/diffs/882095_2015_2016.json,240,252,0.3193,0.452
882095,GILD,2016,2017,/Users/timtonnaer/risk_project/outputs/diffs/882095_2016_2017.json,265,250,0.4159,0.488
882095,GILD,2017,2018,/Users/timtonnaer/risk_project/outputs/diffs/882095_2017_2018.json,280,298,0.2463,0.5323
882095,GILD,2018,2019,/Users/timtonnaer/risk_project/outputs/diffs/882095_2018_2019.json,175,344,0.2689,0.4916
882095,GILD,2019,2020,/Users/timtonnaer/risk_project/outputs/diffs/882095_2019_2020.json,204,162,0.2311,0.5126
882095,GILD,2020,2021,/Users/timtonnaer/risk_project/outputs/diffs/882095_2020_2021.json,235,297,0.0616,0.6994
882095,GILD,2021,2022,/Users/timtonnaer/risk_project/outputs/diffs/882095_2021_2022.json,146,131,0.0874,0.416
882095,GILD,2022,2023,/Users/timtonnaer/risk_project/outputs/diffs/882095_2022_2023.json,144,148,0.122,0.415
14846,AME,2015,2016,/Users/timtonnaer/risk_project/outputs/diffs/14846_2015_2016.json,78,102,0.0956,0.5235
14846,AME,2016,2017,/Users/timtonnaer/risk_project/outputs/diffs/14846_2016_2017.json,68,56,0.1985,0.4224
14846,AME,2017,2018,/Users/timtonnaer/risk_project/outputs/diffs/14846_2017_2018.json,54,53,0.0897,0.3333
14846,AME,2020,2021,/Users/timtonnaer/risk_project/outputs/diffs/14846_2020_2021.json,94,79,0.0094,0.3852
14846,AME,2021,2022,/Users/timtonnaer/risk_project/outputs/diffs/14846_2021_2022.json,59,70,0.313,0.2532
14846,AME,2022,2023,/Users/timtonnaer/risk_project/outputs/diffs/14846_2022_2023.json,91,83,0.5071,0.3776
1067983,BRK.B,2015,2016,/Users/timtonnaer/risk_project/outputs/diffs/1067983_2015_2016.json,20,20,0.5673,0.1786
1067983,BRK.B,2016,2017,/Users/timtonnaer/risk_project/outputs/diffs/1067983_2016_2017.json,27,27,0.2445,0.2411
1067983,BRK.B,2017,2018,/Users/timtonnaer/risk_project/outputs/diffs/1067983_2017_2018.json,38,41,0.0747,0.3486
1067983,BRK.B,2018,2019,/Users/timtonnaer/risk_project/outputs/diffs/1067983_2018_2019.json,51,51,0.0776,0.4679
1067983,BRK.B,2019,2020,/Users/timtonnaer/risk_project/outputs/diffs/1067983_2019_2020.json,34,35,0.1513,0.3148
1067983,BRK.B,2020,2021,/Users/timtonnaer/risk_project/outputs/diffs/1067983_2020_2021.json,27,24,0.6507,0.2432
1067983,BRK.B,2021,2022,/Users/timtonnaer/risk_project/outputs/diffs/1067983_2021_2022.json,18,24,0.7618,0.1714
794170,TOL,2015,2016,/Users/timtonnaer/risk_project/outputs/diffs/794170_2015_2016.json,31,30,0.2896,0.1987
794170,TOL,2016,2017,/Users/timtonnaer/risk_project/outputs/diffs/794170_2016_2017.json,38,29,0.5074,0.2303
794170,TOL,2017,2018,/Users/timtonnaer/risk_project/outputs/diffs/794170_2017_2018.json,47,29,0.6873,0.2568
