ticker,cik,year_new,filing_date,risk_update_intensity,vagueness_ratio,risk_financing,risk_regulatory,beta,car_d-3,car_d-2,car_d-1,car_d+0,car_d+1,car_d+2,car_d+3
BMY,14272,2016,2016-02-12,0,,0,0,1.0793377813499765,0.007990722267529803,0.008418456345350683,-0.004452763079728523,-0.015017598001736826,-0.00147521403500038,0.00671224475247582,0.001596777388493796
BMY,14272,2017,2017-02-21,0,,0,0,0.43414512524218474,0.02369928634584111,0.011814072667644046,0.017900867699808858,0.020058721147151487,0.03242023858032309,0.0416035472692932,0.05462285273305918
BMY,14272,2018,2018-02-13,0,,0,0,1.0476268455533688,0.0374666313434282,0.02492194399014136,0.01856948740203435,0.026936730367420315,0.03522393154853691,0.07929091997770195,0.07877661123549239
BMY,14272,2019,2019-02-25,0,,0,0,1.004356664083952,-0.0024569799000893613,-0.02088939257140932,-0.009502940573824486,-0.01651165297585088,-0.02385794452857393,-0.007588945052800798,0.009816583897692313
BMY,14272,2020,2020-02-24,0,,0,0,0.8597842525550954,-0.011973279556924583,-0.020023858276212857,-0.006620887140892772,-0.006678596192684686,-0.012014052477312437,-0.01105597334771944,-0.017539453101185487
BMY,14272,2021,2021-02-10,99,0.4525547445255474,9,62,0.7718125365461466,-0.014178424139937501,-0.03214487010270538,-0.03977861405552661,-0.03461778696215351,-0.03533100113635301,-0.038027485037370086,-0.046087087101638786
BMY,14272,2022,2022-02-09,71,0.4912280701754385,11,40,0.15280394701173633,0.013771256620389225,0.03303038896123467,0.027619554062566536,0.04462635272827403,0.03825200304553148,0.04703437000571811,0.047137160307577794
BMY,14272,2023,2023-02-14,60,0.4444444444444444,6,37,0.26315220114403803,-0.026974831938806412,-0.01741323655064904,-0.006811798374004439,-0.019608153514212127,-0.03154696244521708,-0.03685434264861323,-0.03238824616158892
TMO,97745,2016,2016-02-25,13,0.5217391304347826,4,4,1.0033055328993596,-0.005454648042879189,-0.007497041510282488,-0.01318180926481586,-0.019033677964910237,-0.019181975825474606,-0.02583485871485253,-0.0021092782686836335
TMO,97745,2017,2017-02-28,18,0.3928571428571428,6,8,1.1948949423271629,0.006017530856241856,0.007493199485861099,0.002402755429584875,0.0033458035802456662,0.0013852091347672747,0.006143949582682732,0.011484340110792357
TMO,97745,2018,2018-02-28,22,0.4545454545454545,4,15,1.1041370058620683,-0.003942478100602893,-0.003932990164906131,-0.006004900336002145,-0.003884890481996776,-0.008227706605445202,-0.008814445246555686,-0.018545495121620997
TMO,97745,2019,2019-02-27,14,0.4666666666666667,2,11,1.1576437283898255,-0.0057376988051591055,-0.001356287243628405,1.4566587541687756e-05,0.018756290605660517,0.022741756457959415,0.03205624726521853,0.018548887268448354
TMO,97745,2020,2020-02-26,25,0.6041666666666666,5,12,1.4692732085960651,0.011261391932659008,0.02293718553138216,0.024619159121671903,0.0312395645757598,0.05259834207019885,0.04423624304382453,0.033923332138280846
TMO,97745,2021,2021-02-25,30,0.4821428571428571,8,5,0.7357397343032394,-0.025563493980624095,-0.034393715098960484,-0.04751654207483162,-0.039428682942469866,-0.039802467382052745,-0.03708450135978561,-0.02502577563328644
TMO,97745,2022,2022-02-24,32,0.5901639344262295,7,21,0.5455556595169877,-0.002349732695171169,-0.01030362286268143,-0.003500912319095493,0.009065708006709177,0.01429371770469076,0.0033036375182308435,0.009205494411609002
TMO,97745,2023,2023-02-23,23,0.5,9,11,1.0153080572628923,0.0066648472311676265,0.011364952857810176,0.007563193547784315,0.007152576700072328,0.002542055261078878,-0.003603925946219202,-0.00034654369149442806
UNP,100885,2023,2023-02-10,23,0.5,2,2,0.8549023688475883,-0.008273889103881375,-0.00734956537450027,-0.01954311285524289,-0.006413480244082656,-0.01187715341481124,-0.021340049988940596,-0.028495975439823424
HD,354950,2016,2016-03-24,36,0.4912280701754385,0,5,0.8390366283000044,-0.0037433591905224137,-0.007369561331282324,-0.003005988960334793,-0.0017770085622320036,0.0015664041488706814,0.002164208529783221,0.004854908144679591
HD,354950,2017,2017-03-23,33,0.5714285714285714,0,10,0.7501748668443681,-0.011048562996166772,-0.009661655242997518,-0.006658189914630998,-0.003266187979506558,-0.005686353332364733,-0.011868510991081755,-0.015558437133887822
HD,354950,2018,2018-03-22,43,0.5714285714285714,2,20,1.2831907461434355,0.006116941685165033,0.01033026481002454,0.008949273849097576,0.024216216308409817,0.02899906538173154,0.024510302755129377,0.03606974023595638
HD,354950,2019,2019-03-28,36,0.631578947368421,1,11,0.9949599945325476,0.005896741342683495,-0.00293196039063642,0.0018988166082199174,0.002731930535173434,0.007015660792558849,0.016018699878484366,0.010009358502162937
HD,354950,2020,2020-03-25,52,0.5189873417721519,6,14,1.0614740071640232,-0.0164714577953416,0.07918125456368497,0.1193253543582476,0.08573588558938003,0.0985513269181284,0.10956871916128534,0.10769205093572838
HD,354950,2021,2021-03-24,91,0.5098039215686274,9,15,0.607453923197966,0.020970480787635585,0.018595496706678843,0.030568019272676765,0.04673010309963099,0.05896796284422984,0.0730339758872242,0.07201851118833022
HD,354950,2022,2022-03-23,3,0.4,0,1,0.7436065300216462,0.003959277780751714,-0.028041132035352922,-0.03561823000674978,-0.06516026436272476,-0.07883353869088064,-0.09719567034250948,-0.09007787863234408
HD,354950,2023,2023-03-15,0,,0,0,1.117006947949673,0.012250497620077216,0.016150857241848057,-0.00517735187645485,0.013279238572477772,-0.009519283533443494,0.00942870323773717,0.0024167427764305756
GE,40533,2016,2016-02-08,3,0.8235294117647058,5,1,0.8754678396542812,0.00796052863731634,0.020326792544944596,0.013294166882307334,0.012930687204898279,0.017269830959813676,0.015486912130283775,-0.0063117747278018735
GE,40533,2017,2017-02-06,0,1.0,0,0,0.826031130101031,8.344893291004123e-05,-9.495400242194433e-05,-0.005211433136741555,-0.003664020969178926,-0.005935748416195736,-0.010691420807840867,-0.009961973130598028
