cik,ticker,year_old,year_new,n_classified,risk_update_intensity,boilerplate_ratio,vagueness_ratio,n_added_total,similarity,added_ratio,risk_operational,risk_cyber,risk_regulatory,risk_supply_chain,risk_financing,risk_macroeconomic,risk_other,sector,company_name
60667,LOW,2019,2020,46,3,0.06521739130434782,0.6666666666666666,48,0.5954,0.2759,2,0,0,0,1,2,1,Consumer Discretionary,Lowe's Companies
60667,LOW,2020,2021,56,8,0.14285714285714285,0.6875,61,0.1318,0.3333,4,0,6,0,2,4,0,Consumer Discretionary,Lowe's Companies
60667,LOW,2021,2022,109,3,0.05504587155963303,0.6666666666666666,115,0.2467,0.53,1,0,2,1,2,3,0,Consumer Discretionary,Lowe's Companies
60667,LOW,2022,2023,90,4,0.06666666666666667,0.6,92,0.3079,0.4144,1,0,3,1,2,3,0,Consumer Discretionary,Lowe's Companies
19617,JPM,2015,2016,135,5,0.07407407407407407,0.6,151,0.0621,0.5412,10,0,4,0,1,0,0,Financials,JPMorgan Chase
19617,JPM,2016,2017,150,5,0.03333333333333333,0.6,173,0.1504,0.534,5,0,5,0,0,0,0,Financials,JPMorgan Chase
19617,JPM,2017,2018,361,0,0.002770083102493075,1.0,415,0.0098,0.9742,1,0,0,0,0,0,0,Financials,JPMorgan Chase
19617,JPM,2018,2019,269,2,0.026022304832713755,0.6666666666666666,292,0.1351,0.6046,1,0,8,0,0,0,0,Financials,JPMorgan Chase
19617,JPM,2019,2020,148,2,0.04054054054054054,0.5,163,0.2606,0.3638,3,0,1,0,0,4,0,Financials,JPMorgan Chase
19617,JPM,2020,2021,231,6,0.021645021645021644,0.5454545454545454,249,0.3292,0.5082,6,0,3,0,0,2,0,Financials,JPMorgan Chase
19617,JPM,2021,2022,178,0,0.0,,189,0.1311,0.4181,0,0,0,0,0,0,0,Financials,JPMorgan Chase
19617,JPM,2022,2023,131,7,0.030534351145038167,0.5454545454545454,135,0.0304,0.3132,7,0,2,0,0,2,0,Financials,JPMorgan Chase
886982,GS,2015,2016,132,5,0.05303030303030303,0.25,175,0.1339,0.4279,6,0,3,1,1,1,0,Financials,Goldman Sachs
886982,GS,2018,2019,123,1,0.016260162601626018,0.3333333333333333,168,0.1666,0.3256,2,0,1,0,0,0,0,Financials,Goldman Sachs
886982,GS,2019,2020,169,7,0.011834319526627219,0.4444444444444444,205,0.0547,0.3853,3,0,2,0,0,4,0,Financials,Goldman Sachs
886982,GS,2020,2021,172,5,0.040697674418604654,0.5833333333333334,224,0.0839,0.3672,8,0,2,0,2,0,0,Financials,Goldman Sachs
886982,GS,2021,2022,129,2,0.05426356589147287,0.7777777777777778,163,0.0936,0.2685,7,0,1,0,1,0,0,Financials,Goldman Sachs
886982,GS,2022,2023,186,1,0.026881720430107527,0.8333333333333334,242,0.2042,0.3591,6,0,0,0,0,0,0,Financials,Goldman Sachs
731766,UNH,2015,2016,77,7,0.12987012987012986,0.7647058823529411,82,0.6236,0.3048,2,5,2,0,7,1,0,Health Care,UnitedHealth Group
731766,UNH,2016,2017,38,0,0.0,,41,0.8045,0.1536,0,0,0,0,0,0,0,Health Care,UnitedHealth Group
731766,UNH,2017,2018,94,9,0.05319148936170213,0.5714285714285714,95,0.5534,0.3558,3,1,2,0,5,2,1,Health Care,UnitedHealth Group
731766,UNH,2018,2019,70,6,0.05714285714285714,0.3,73,0.6928,0.2674,2,0,1,0,4,3,0,Health Care,UnitedHealth Group
731766,UNH,2019,2020,41,0,0.024390243902439025,1.0,43,0.7804,0.1575,0,0,0,0,1,0,0,Health Care,UnitedHealth Group
