cik,ticker,year_old,year_new,n_classified,risk_update_intensity,boilerplate_ratio,vagueness_ratio,n_added_total,similarity,added_ratio,risk_operational,risk_cyber,risk_regulatory,risk_supply_chain,risk_financing,risk_macroeconomic,risk_other,sector,company_name,roa,rev_growth,leverage,current_ratio,log_assets,roa_t1,rev_growth_t1,leverage_t1,current_ratio_t1,annual_ret,annual_ret_t1
14272,BMY,2015,2016,37,0.0,0.0,,41,0.5989,0.3203,0,0,0,0,0,0,0,Health Care,Bristol-Myers Squibb,0.1322277271783309,0.1731280193236715,0.169579019194826,1.5500508992195452,10.425460809904182,0.030014008524336,0.0694394399547022,0.2078924622216923,1.5532782599602637,-0.130566082102491,0.0771671990232279
14272,BMY,2016,2017,57,0.0,0.0,,71,0.2926,0.5182,0,0,0,0,0,0,0,Health Care,Bristol-Myers Squibb,0.030014008524336,0.0694394399547022,0.2078924622216923,1.5532782599602637,10.420821948214943,0.1406276796432858,0.0859164420485174,0.1613788372491854,1.6106626619110194,0.0771671990232279,-0.1290910839628899
14272,BMY,2017,2018,56,0.0,0.0,,68,0.0875,0.4277,0,0,0,0,0,0,0,Health Care,Bristol-Myers Squibb,0.1406276796432858,0.0859164420485174,0.1613788372491854,1.6106626619110194,10.46270326045021,0.0264652465677522,0.1588582066397765,0.3390614418518746,1.603693181818182,-0.1290910839628899,0.278628327401495
14272,BMY,2018,2019,90,0.0,0.0,,100,0.1924,0.4808,0,0,0,0,0,0,0,Health Care,Bristol-Myers Squibb,0.0264652465677522,0.1588582066397765,0.3390614418518746,1.603693181818182,11.774858867399232,-0.07606758897966788,0.5677850429199504,0.4149948092943172,1.5823899371069183,0.278628327401495,0.0039218141762601
14272,BMY,2019,2020,120,0.0,0.0,,138,0.0562,0.5974,0,0,0,0,0,0,0,Health Care,Bristol-Myers Squibb,-0.0760881491547167,0.6262382864792504,0.4149948092943172,1.5823899371069183,11.68250788914914,0.0639808258777466,0.0909497154146479,0.3703002360173445,1.5210353027254435,0.0039218141762601,0.0288692530567835
14272,BMY,2020,2021,137,59.679999999999836,0.2773722627737226,0.4525547445255474,153,0.0915,0.5258,34,4,62,12,9,14,2,Health Care,Bristol-Myers Squibb,0.0639808258777466,0.0909497154146479,0.3703002360173445,1.5210353027254435,11.60197975379374,0.0653480685808717,-0.0048722647407567,0.3750981202230944,1.2459113750571038,0.0288692530567835,0.1900103628715698
14272,BMY,2021,2022,114,59.679999999999836,0.3771929824561403,0.4912280701754385,127,0.1187,0.4006,32,6,40,11,11,12,2,Health Care,Bristol-Myers Squibb,0.0653480685808717,-0.0048722647407567,0.3750981202230944,1.2459113750571038,11.480608863493686,0.0843325381729526,-0.0249788773586949,0.4012547420632835,1.4270954990566884,0.1900103628715698,-0.2615215685641872
14272,BMY,2022,2023,90,59.679999999999836,0.3333333333333333,0.4444444444444444,107,0.4275,0.428,23,7,37,8,6,8,1,Health Care,Bristol-Myers Squibb,0.0843325381729526,-0.0249788773586949,0.4012547420632835,1.4270954990566884,11.463304455744613,-0.07606758897966788,0.0731902413011598,0.5288489573771908,1.2526289223521494,-0.2615215685641872,0.1578381178094026
97745,TMO,2015,2016,23,13.0,0.4347826086956521,0.5217391304347826,31,0.0456,0.1824,7,1,4,1,4,5,1,Health Care,Thermo Fisher Scientific,0.0440407340848445,0.0771393542150493,0.3348559603550618,1.4429281926918491,10.734383781393335,0.0392630891669166,0.1446801757678901,0.3330392277965025,1.3366912599318956,-0.0011692536833856,0.3502658651274976
97745,TMO,2016,2017,28,18.0,0.3571428571428571,0.3928571428571428,33,0.5936,0.2025,3,3,8,0,6,6,2,Health Care,Thermo Fisher Scientific,0.0392630891669166,0.1446801757678901,0.3330392277965025,1.3366912599318956,10.94498260298715,0.0522478304168445,0.1644516684195429,0.3151052781334471,1.728485440052058,0.3502658651274976,0.1821449244212878
