gvkey,cik,fyear,datadate,ni,at,sale,dltt,act,lct,ceq,sich,roa,leverage,current_ratio,log_assets,rev_growth
001078,0000001800,2014,2014-12-31,2284.0,41275.0,20247.0,3408.0,15261.0,10532.0,21526.0,2834,0.05533615990308904,0.08256814052089642,1.4490125332320547,10.628012268788328,
001078,0000001800,2015,2015-12-31,4423.0,41247.0,20405.0,5871.0,14155.0,9186.0,21211.0,2834,0.10723204111814193,0.14233762455451304,1.540931852819508,10.627333661845343,0.007803625228428812
001078,0000001800,2016,2016-12-31,1400.0,52666.0,20853.0,20681.0,26776.0,6660.0,20538.0,2834,0.026582614969809744,0.3926821858504538,4.020420420420421,10.87172536503303,0.021955403087478453
001078,0000001800,2017,2017-12-31,477.0,76250.0,27390.0,27210.0,20147.0,8912.0,30897.0,2834,0.006255737704918033,0.35685245901639345,2.2606597845601435,11.241772694469658,0.31348007480938
001078,0000001800,2018,2018-12-31,2368.0,67173.0,30578.0,19359.0,14632.0,9012.0,30524.0,2834,0.03525225909219478,0.2881961502389353,1.623612960497115,11.115026660059447,0.11639284410368744
001078,0000001800,2019,2019-12-31,3687.0,67887.0,31904.0,17416.0,15667.0,10863.0,31088.0,3845,0.054310840072473374,0.25654396276164804,1.4422351100064439,11.125599837189851,0.04336451043233702
001078,0000001800,2020,2020-12-31,4495.0,72548.0,34608.0,19429.0,20441.0,11907.0,32784.0,3845,0.061958978882946464,0.26780889893587695,1.7167212564037961,11.192003690737314,0.08475426278836506
001078,0000001800,2021,2021-12-31,7071.0,75196.0,43075.0,18252.0,24239.0,13105.0,35802.0,3845,0.0940342571413373,0.24272567689770733,1.8495993895459748,11.227853317033851,0.2446544151641239
001078,0000001800,2022,2022-12-31,6933.0,74438.0,43653.0,15465.0,25224.0,15489.0,36686.0,3845,0.09313791343131196,0.20775679088637525,1.6285105558783652,11.217721843119596,0.013418456181079508
001078,0000001800,2023,2023-12-31,5723.0,73214.0,40109.0,14548.0,22670.0,13841.0,38603.0,3845,0.07816810992433142,0.19870516567869534,1.6378874358789104,11.201141938492748,-0.08118571461297042
001078,0000001800,2024,2024-12-31,13402.0,81414.0,41950.0,13521.0,23656.0,14157.0,47664.0,3845,0.1646154224089223,0.166077087478812,1.6709754891573074,11.307302527374008,0.045899922710613605
001447,0000004962,2014,2014-12-31,5885.0,159103.0,35280.0,45876.0,,,20673.0,6141,0.0369886174365034,0.28834151461631774,,11.977307070213472,
001447,0000004962,2015,2015-12-31,5163.0,161184.0,34441.0,41247.0,,,20673.0,6141,0.0320317153067302,0.2559000893388922,,11.990301848545377,-0.023781179138322006
001447,0000004962,2016,2016-12-31,5408.0,158893.0,33823.0,31266.0,,,20501.0,6141,0.03403548299799236,0.1967739296255971,,11.975986298691016,-0.01794372985685666
001447,0000004962,2017,2017-12-31,2736.0,181159.0,35583.0,43870.0,,,18227.0,6141,0.01510275503839169,0.24216296181807143,,12.10713037767258,0.05203559707891081
001447,0000004962,2018,2018-12-31,6921.0,188602.0,43281.0,47108.0,,,22290.0,6141,0.036696323474830594,0.24977465774488075,,12.147394253579138,0.2163392631312706
001447,0000004962,2019,2019-12-31,6759.0,198321.0,47020.0,43003.0,,,23071.0,6141,0.03408111092622566,0.21683533261732243,,12.197642209052148,0.08638894665095531
001447,0000004962,2020,2020-12-31,3135.0,191367.0,38185.0,32227.0,,,22984.0,6141,0.016382134850836352,0.16840416581751294,,12.161948329342922,-0.18789876648234793
001447,0000004962,2021,2021-12-31,8060.0,188548.0,43663.0,25613.0,,,22177.0,6141,0.04274773532469186,0.13584339266393702,,12.147107895364268,0.14345947361529388
001447,0000004962,2022,2022-12-31,7514.0,228354.0,55625.0,35035.0,,,24711.0,6141,0.03290505092969687,0.153424069646251,,12.33865233542929,0.2739619357350618
001447,0000004962,2023,2023-12-31,8374.0,261108.0,67364.0,38437.0,,,28057.0,6141,0.03207102042066884,0.14720728587404447,,12.472689393819522,0.21103820224719105
001447,0000004962,2024,2024-12-31,10129.0,271461.0,74201.0,38091.0,,,30264.0,6141,0.037312910510165366,0.14031849878988142,,12.511573761629155,0.1014933792530135
002285,0000012927,2014,2014-12-31,5446.0,99198.0,90762.0,8141.0,67785.0,56717.0,8665.0,3721,0.05490030040928245,0.08206818685860602,1.1951443129925772,11.5048731317794,
002285,0000012927,2015,2015-12-31,5176.0,94408.0,96114.0,8730.0,68234.0,50412.0,6335.0,3721,0.05482586221506652,0.09247097703584442,1.3535269380306276,11.455381094305585,0.05896740926819599
002285,0000012927,2016,2016-12-31,4895.0,89997.0,94571.0,9568.0,62488.0,50134.0,817.0,3721,0.05439070191228596,0.1063146549329422,1.2464195954841026,11.407531615423501,-0.016053852716565786
002285,0000012927,2017,2017-12-31,8197.0,92333.0,93392.0,9782.0,65161.0,56269.0,355.0,3721,0.08877649377795588,0.10594262073148278,1.158026622118751,11.433156886386547,-0.012466823867781862
002285,0000012927,2018,2018-12-31,10460.0,117359.0,101127.0,10657.0,87830.0,81590.0,339.0,3721,0.08912823047231146,0.09080684054908443,1.0764799607795073,11.672992891989832,0.0828229398663698
