ticker,permno,year,annual_ret,trading_days
AAPL,14593,2014,0.40617903996578386,252
AAPL,14593,2015,-0.030184582184590282,252
AAPL,14593,2016,0.12480982843959668,252
AAPL,14593,2017,0.48474573151749084,251
AAPL,14593,2018,-0.053914727775150245,251
AAPL,14593,2019,0.8896625238851401,252
AAPL,14593,2020,0.8231012545503383,253
AAPL,14593,2021,0.34647313973295907,252
AAPL,14593,2022,-0.2640376366071972,251
AAPL,14593,2023,0.4900448571443106,250
AAPL,14593,2024,0.3070489903821282,252
ABT,20482,2014,0.2008049237719344,252
ABT,20482,2015,0.018904241208864844,252
ABT,20482,2016,-0.12315574161958048,252
ABT,20482,2017,0.5200411075878439,251
ABT,20482,2018,0.2903691965114946,251
ABT,20482,2019,0.22095670649162158,252
ABT,20482,2020,0.28002627811959496,253
ABT,20482,2021,0.30541374067934207,252
ABT,20482,2022,-0.20688244761101432,251
ABT,20482,2023,0.02264005902773394,250
ABT,20482,2024,0.04829191808578694,252
ACN,89071,2014,0.11388027768665866,252
ACN,89071,2015,0.19533644952211518,252
ACN,89071,2016,0.14331014140567178,252
ACN,89071,2017,0.3334187978421725,251
ACN,89071,2018,-0.0621133105932454,251
ACN,89071,2019,0.5120689135060261,252
ACN,89071,2020,0.2605487105421349,253
ACN,89071,2021,0.6065774342479983,252
ACN,89071,2022,-0.3475219099717799,251
ACN,89071,2023,0.33571772826711965,250
ACN,89071,2024,0.018698861374579896,252
ALL,79323,2014,0.312263509257646,252
ALL,79323,2015,-0.09963881883669229,252
ALL,79323,2016,0.21708687894141337,252
ALL,79323,2017,0.43622043523860105,251
ALL,79323,2018,-0.19521432974895092,251
ALL,79323,2019,0.3881481678175335,252
ALL,79323,2020,-0.0011712788349947756,253
ALL,79323,2021,0.09876800698641983,252
ALL,79323,2022,0.1834192604360335,251
ALL,79323,2023,0.06337376326367347,250
ALL,79323,2024,0.4060426114001072,252
AMGN,14008,2014,0.42316886768464057,252
AMGN,14008,2015,0.039718352511522455,252
AMGN,14008,2016,-0.07547877700512946,252
AMGN,14008,2017,0.222486751308826,251
AMGN,14008,2018,0.15171437154507833,251
AMGN,14008,2019,0.27621752135205985,252
AMGN,14008,2020,-0.020001141710924108,253
AMGN,14008,2021,0.008743842673303064,252
AMGN,14008,2022,0.20427939589462601,251
AMGN,14008,2023,0.13472569034996318,250
AMGN,14008,2024,-0.06760892331378858,252
AMZN,84788,2014,-0.22177218716225036,252
AMZN,84788,2015,1.1778387392627927,252
AMZN,84788,2016,0.10945435786584325,252
AMZN,84788,2017,0.5595682042158172,251
AMZN,84788,2018,0.2843281990941258,251
AMZN,84788,2019,0.23026808344007182,252
AMZN,84788,2020,0.7625681792884014,253
AMZN,84788,2021,0.023757559824778427,252
AMZN,84788,2022,-0.496153189854554,251
AMZN,84788,2023,0.8087999204564771,250
AMZN,84788,2024,0.4439195072872465,252
AXP,59176,2014,0.03667811158454917,252
AXP,59176,2015,-0.24218241595814813,252
AXP,59176,2016,0.08571424812018107,252
AXP,59176,2017,0.36204226662155503,251
AXP,59176,2018,-0.026325632797346076,251
AXP,59176,2019,0.3252453252497606,252
AXP,59176,2020,-0.01150734625586949,253
AXP,59176,2021,0.36885905128211144,252
AXP,59176,2022,-0.08529812694554567,251
AXP,59176,2023,0.28691369235281045,250
AXP,59176,2024,0.6031709558412736,252
AZO,76605,2014,0.29537599964089434,252
AZO,76605,2015,0.19835943541816203,252
AZO,76605,2016,0.06453515569283633,252
AZO,76605,2017,-0.09928782782065164,251
AZO,76605,2018,0.1784923918564098,251
AZO,76605,2019,0.421041131168804,252
AZO,76605,2020,-0.004921957868298834,253
AZO,76605,2021,0.7684480612929656,252
AZO,76605,2022,0.17637840675629846,251
AZO,76605,2023,0.048426396342607994,250
AZO,76605,2024,0.2383880537417634,252
BA,19561,2014,-0.025269419369370542,252
BA,19561,2015,0.14049518406689757,252
BA,19561,2016,0.11319367050182767,252
BA,19561,2017,0.9476998069836545,251
